NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MOOTHA_VOXPHOS	87	87		
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	51	51		
DER_IFN_GAMMA_RESPONSE_DN	10		Rejected!	
SANA_RESPONSE_TO_IFNG_UP	76	74		
SANA_TNF_SIGNALING_UP	83	83		
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_UP	48	48		
SCHUHMACHER_MYC_TARGETS_UP	80	79		
SWEET_KRAS_TARGETS_UP	83	83		
CHEOK_RESPONSE_TO_HD_MTX_UP	23	22		
MAGRANGEAS_MULTIPLE_MYELOMA_IGG_VS_IGA_UP	20	20		
OKUMURA_INFLAMMATORY_RESPONSE_LPS	182	182		
SMITH_TERT_TARGETS_DN	87	87		
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_DN	45	44		
LEE_LIVER_CANCER_DENA_DN	74	74		
SANA_RESPONSE_TO_IFNG_DN	87	87		
CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN	20	20		
LEE_LIVER_CANCER_MYC_DN	63	63		
LEE_LIVER_CANCER_CIPROFIBRATE_UP	60	59		
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP	20	20		
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN	44	44		
LU_IL4_SIGNALING	91	91		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	774		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FLI1	8		Rejected!	
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_DN	24	24		
FERRANDO_LYL1_NEIGHBORS	16	16		
VANTVEER_BREAST_CANCER_METASTASIS_UP	45	45		
COLLER_MYC_TARGETS_UP	24	24		
MANALO_HYPOXIA_UP	205	205		
REN_BOUND_BY_E2F	62	62		
DORSAM_HOXA9_TARGETS_DN	32	32		
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	553		Rejected!	
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	45	45		
GRANDVAUX_IRF3_TARGETS_DN	18	18		
IIZUKA_LIVER_CANCER_EARLY_RECURRENCE	11		Rejected!	
RADAEVA_RESPONSE_TO_IFNA1_DN	10		Rejected!	
BECKER_TAMOXIFEN_RESISTANCE_DN	54	53		
PEART_HDAC_PROLIFERATION_CLUSTER_DN	71	71		
KLEIN_PRIMARY_EFFUSION_LYMPHOMA_UP	50	49		
SASAKI_ADULT_T_CELL_LEUKEMIA	168	167		
COLLER_MYC_TARGETS_DN	7		Rejected!	
LEE_LIVER_CANCER_E2F1_DN	64	64		
LEE_LIVER_CANCER_DENA_UP	60	59		
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN	24	24		
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP	41	41		
FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	65	65		
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	568		Rejected!	
GOLDRATH_IMMUNE_MEMORY	64	64		
LEE_LIVER_CANCER_E2F1_UP	63	63		
ROSS_AML_WITH_AML1_ETO_FUSION	78	77		
BHATTACHARYA_EMBRYONIC_STEM_CELL	84	84		
OSAWA_TNF_TARGETS	10		Rejected!	
DER_IFN_GAMMA_RESPONSE_UP	71	71		
HASLINGER_B_CLL_WITH_17P13_DELETION	22	21		
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP	79	79		
ZHAN_MULTIPLE_MYELOMA_CD1_UP	45	45		
ABBUD_LIF_SIGNALING_1_DN	28	27		
SANSOM_APC_TARGETS_UP	130	130		
NAKAJIMA_EOSINOPHIL	25	25		
BROWN_MYELOID_CELL_DEVELOPMENT_UP	166	165		
NADLER_OBESITY_UP	60	59		
SANSOM_APC_TARGETS_DN	352	352		
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	74	74		
ZHANG_TARGETS_OF_EWSR1_FLI1_FUSION	87	86		
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	30	30		
HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_UP	82	80		
MA_MYELOID_DIFFERENTIATION_DN	43	43		
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	80	79		
VERNELL_RETINOBLASTOMA_PATHWAY_DN	23	23		
HASLINGER_B_CLL_WITH_MUTATED_VH_GENES	18	18		
CROMER_METASTASIS_UP	72	71		
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_DN	55	55		
GUO_HEX_TARGETS_UP	78	77		
WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_DN	24	24		
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	140	140		
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP	48	48		
HEDVAT_ELF4_TARGETS_UP	12		Rejected!	
XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_UP	15	15		
STOSSI_RESPONSE_TO_ESTRADIOL	46	46		
YU_MYC_TARGETS_UP	43	43		
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_DN	76	76		
ABBUD_LIF_SIGNALING_2_UP	12		Rejected!	
PARK_HSC_MARKERS	44	43		
FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_UP	89	89		
HOFMANN_CELL_LYMPHOMA_DN	40	40		
ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_UP	68	68		
MATSUDA_NATURAL_KILLER_DIFFERENTIATION	485	483		
WANG_TARGETS_OF_MLL_CBP_FUSION_UP	45	45		
STONER_ESOPHAGEAL_CARCINOGENESIS_UP	40	40		
STONER_ESOPHAGEAL_CARCINOGENESIS_DN	6		Rejected!	
HASLINGER_B_CLL_WITH_13Q14_DELETION	24	24		
HOFMANN_CELL_LYMPHOMA_UP	49	49		
GUO_HEX_TARGETS_DN	65	65		
HSIAO_LIVER_SPECIFIC_GENES	250	250		
GILDEA_METASTASIS	29	29		
ZHAN_MULTIPLE_MYELOMA_SPIKED	24	24		
MUNSHI_MULTIPLE_MYELOMA_DN	10		Rejected!	
ASTIER_INTEGRIN_SIGNALING	57	57		
ZHAN_MULTIPLE_MYELOMA_LB_UP	46	44		
HASLINGER_B_CLL_WITH_11Q23_DELETION	23	22		
LEI_MYB_TARGETS	323	321		
BROWN_MYELOID_CELL_DEVELOPMENT_DN	127	127		
ROETH_TERT_TARGETS_DN	9		Rejected!	
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	85	85		
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN	164	163		
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	85	84		
HALMOS_CEBPA_TARGETS_DN	45	45		
NADLER_OBESITY_DN	49	49		
FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_DN	89	89		
WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_UP	31	30		
NEMETH_INFLAMMATORY_RESPONSE_LPS_DN	30	30		
GALE_APL_WITH_FLT3_MUTATED_DN	16	16		
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP	94	94		
NADLER_HYPERGLYCEMIA_AT_OBESITY	58	58		
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_UP	28	28		
ZHAN_MULTIPLE_MYELOMA_PR_UP	46	45		
HALMOS_CEBPA_TARGETS_UP	48	48		
YU_MYC_TARGETS_DN	59	59		
NUMATA_CSF3_SIGNALING_VIA_STAT3	21	21		
ZHAN_MULTIPLE_MYELOMA_UP	64	64		
LENAOUR_DENDRITIC_CELL_MATURATION_UP	116	115		
TAVOR_CEBPA_TARGETS_DN	32	32		
LENAOUR_DENDRITIC_CELL_MATURATION_DN	130	130		
WANG_TARGETS_OF_MLL_CBP_FUSION_DN	45	45		
HADDAD_B_LYMPHOCYTE_PROGENITOR	289	284		
PARK_HSC_AND_MULTIPOTENT_PROGENITORS	45	45		
GREENBAUM_E2A_TARGETS_DN	20	20		
NGUYEN_NOTCH1_TARGETS_UP	27	27		
ZHAN_MULTIPLE_MYELOMA_CD2_UP	48	48		
HASLINGER_B_CLL_WITH_CHROMOSOME_12_TRISOMY	23	23		
ABBUD_LIF_SIGNALING_1_UP	43	42		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	26	26		
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_UP	76	75		
GERY_CEBP_TARGETS	131	131		
VERHAAK_AML_WITH_NPM1_MUTATED_UP	186	185		
KANG_IMMORTALIZED_BY_TERT_UP	88	88		
BASSO_CD40_SIGNALING_DN	71	71		
ZHAN_MULTIPLE_MYELOMA_MF_UP	48	48		
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	162	162		
JAIN_NFKB_SIGNALING	75	75		
ROETH_TERT_TARGETS_UP	14		Rejected!	
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	131	130		
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	183	183		
STAEGE_EWING_FAMILY_TUMOR	32	32		
GALE_APL_WITH_FLT3_MUTATED_UP	59	59		
AFFAR_YY1_TARGETS_UP	199	198		
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN	227	227		
AFFAR_YY1_TARGETS_DN	262	262		
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN	49	48		
VERNELL_RETINOBLASTOMA_PATHWAY_UP	70	70		
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	186	186		
KANG_IMMORTALIZED_BY_TERT_DN	101	101		
HESS_TARGETS_OF_HOXA9_AND_MEIS1_UP	69	69		
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	20	20		
NGUYEN_NOTCH1_TARGETS_DN	83	83		
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_UP	371	371		
CHIARETTI_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ZAP70	68	68		
PETROVA_PROX1_TARGETS_DN	56	56		
HOEGERKORP_CD44_TARGETS_DIRECT_DN	14		Rejected!	
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	29	29		
XU_RESPONSE_TO_TRETINOIN_UP	16	16		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	20	20		
MENSE_HYPOXIA_UP	97	97		
MARCINIAK_ER_STRESS_RESPONSE_VIA_CHOP	22	22		
ZHAN_V2_LATE_DIFFERENTIATION_GENES	45	44		
DORSEY_GAB2_TARGETS	30	30		
HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN	64	63		
NAKAJIMA_MAST_CELL	46	46		
LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	25	25		
ZHAN_MULTIPLE_MYELOMA_MS_UP	50	50		
MA_MYELOID_DIFFERENTIATION_UP	38	38		
RADMACHER_AML_PROGNOSIS	81	81		
CROMER_METASTASIS_DN	77	77		
NOUZOVA_METHYLATED_IN_APL	66	66		
ZHAN_MULTIPLE_MYELOMA_HP_UP	50	49		
XU_RESPONSE_TO_TRETINOIN_DN	12		Rejected!	
TAVOR_CEBPA_TARGETS_UP	51	51		
YAGI_AML_SURVIVAL	123	123		
XU_CREBBP_TARGETS_UP	22	22		
VERHAAK_AML_WITH_NPM1_MUTATED_DN	250	249		
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	28	27		
APPEL_IMATINIB_RESPONSE	33	33		
YAGI_AML_FAB_MARKERS	194	194		
ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_DN	53	53		
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	175	175		
ABBUD_LIF_SIGNALING_2_DN	6		Rejected!	
XU_CREBBP_TARGETS_DN	41	40		
IGLESIAS_E2F_TARGETS_DN	16	16		
HOEGERKORP_CD44_TARGETS_TEMPORAL_UP	12		Rejected!	
HOEGERKORP_CD44_TARGETS_TEMPORAL_DN	25	25		
IGLESIAS_E2F_TARGETS_UP	145	144		
MUNSHI_MULTIPLE_MYELOMA_UP	77	77		
KAMMINGA_EZH2_TARGETS	41	41		
ZHAN_MULTIPLE_MYELOMA_DN	42	39		
BASSO_CD40_SIGNALING_UP	103	102		
HASLINGER_B_CLL_WITH_6Q21_DELETION	22	21		
HANSON_HRAS_SIGNALING_VIA_NFKB	23	23		
FAELT_B_CLL_WITH_VH3_21_DN	49	48		
GREENBAUM_E2A_TARGETS_UP	33	33		
XU_RESPONSE_TO_TRETINOIN_AND_NSC682994_DN	14		Rejected!	
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	137	137		
BRUNO_HEMATOPOIESIS	66	66		
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_UP	87	87		
PETROVA_PROX1_TARGETS_UP	25	25		
HOEGERKORP_CD44_TARGETS_DIRECT_UP	26	26		
KUMAR_TARGETS_OF_MLL_AF9_FUSION	401	399		
FAELT_B_CLL_WITH_VH3_21_UP	45	45		
SESTO_RESPONSE_TO_UV_C8	71	71		
KIM_HYPOXIA	17	17		
GENTILE_UV_RESPONSE_CLUSTER_D9	26	26		
LIANG_SILENCED_BY_METHYLATION_2	58	58		
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	443	443		
LY_AGING_PREMATURE_DN	30	30		
MARTINEZ_RESPONSE_TO_TRABECTEDIN	50	50		
WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2	35	35		
BROWNE_HCMV_INFECTION_20HR_UP	237	237		
TAKAO_RESPONSE_TO_UVB_RADIATION_UP	87	86		
URS_ADIPOCYTE_DIFFERENTIATION_UP	66	66		
LEE_AGING_NEOCORTEX_DN	68	68		
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP	99	99		
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	407	407		
TRAYNOR_RETT_SYNDROM_UP	40	40		
MCCLUNG_DELTA_FOSB_TARGETS_8WK	49	49		
BRACHAT_RESPONSE_TO_METHOTREXATE_DN	26	26		
BROWNE_HCMV_INFECTION_16HR_UP	224	224		
MODY_HIPPOCAMPUS_POSTNATAL	56	56		
IYENGAR_RESPONSE_TO_ADIPOCYTE_FACTORS	10		Rejected!	
JAZAERI_BREAST_CANCER_BRCA1_VS_BRCA2_DN	42	42		
BURTON_ADIPOGENESIS_10	31	31		
ABE_VEGFA_TARGETS_2HR	35	35		
SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A	21	21		
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP	70	70		
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	388	388		
IVANOVA_HEMATOPOIESIS_MATURE_CELL	292	291		
DAZARD_UV_RESPONSE_CLUSTER_G3	14		Rejected!	
SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP	38	38		
WEBER_METHYLATED_IN_COLON_CANCER	18	18		
KAAB_FAILED_HEART_ATRIUM_DN	147	147		
SU_PANCREAS	49	48		
RUAN_RESPONSE_TO_TROGLITAZONE_UP	24	24		
WU_HBX_TARGETS_2_DN	16	16		
ZAMORA_NOS2_TARGETS_UP	56	56		
JIANG_AGING_CEREBRAL_CORTEX_UP	32	32		
WEIGEL_OXIDATIVE_STRESS_RESPONSE	33	33		
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP	300	299		
BRACHAT_RESPONSE_TO_CISPLATIN	23	23		
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR	515		Rejected!	
LU_AGING_BRAIN_DN	153	153		
RUAN_RESPONSE_TO_TNF_UP	12		Rejected!	
WHITESIDE_CISPLATIN_RESISTANCE_UP	11		Rejected!	
LEE_CALORIE_RESTRICTION_NEOCORTEX_UP	67	67		
JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN	60	60		
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	216	215		
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_H2O2	36	36		
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR	38	38		
ZHOU_TNF_SIGNALING_4HR	50	50		
MARCHINI_TRABECTEDIN_RESISTANCE_UP	20	19		
GENTILE_UV_LOW_DOSE_UP	25	25		
BLALOCK_ALZHEIMERS_DISEASE_DN	1247		Rejected!	
BROWNE_HCMV_INFECTION_16HR_DN	84	84		
WESTON_VEGFA_TARGETS_6HR	50	49		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	14		Rejected!	
RAMALHO_STEMNESS_DN	74	74		
ONGUSAHA_TP53_TARGETS	39	38		
GENTILE_UV_RESPONSE_CLUSTER_D4	54	54		
RHODES_CANCER_META_SIGNATURE	65	65		
LIAN_LIPA_TARGETS_6M	80	79		
WU_HBX_TARGETS_1_DN	23	23		
HARRIS_HYPOXIA	81	80		
RUAN_RESPONSE_TO_TNF_TROGLITAZONE_DN	39	39		
SU_SALIVARY_GLAND	14		Rejected!	
BROWNE_HCMV_INFECTION_10HR_DN	57	57		
KAYO_CALORIE_RESTRICTION_MUSCLE_DN	87	87		
HENDRICKS_SMARCA4_TARGETS_UP	54	54		
ZHENG_RESPONSE_TO_ARSENITE_DN	12		Rejected!	
MURAKAMI_UV_RESPONSE_6HR_DN	21	21		
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_DN	42	42		
RAMALHO_STEMNESS_UP	196	196		
MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_7	14		Rejected!	
MCDOWELL_ACUTE_LUNG_INJURY_UP	47	47		
SESTO_RESPONSE_TO_UV_C4	20	20		
WANG_SMARCE1_TARGETS_DN	383	382		
SU_TESTIS	80	79		
TRAYNOR_RETT_SYNDROM_DN	15	15		
SESTO_RESPONSE_TO_UV_C6	39	38		
MCCLUNG_CREB1_TARGETS_DN	56	56		
RODWELL_AGING_KIDNEY_NO_BLOOD_DN	148	148		
SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1B	16	16		
SESTO_RESPONSE_TO_UV_C2	54	54		
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	256	256		
HU_GENOTOXIC_DAMAGE_24HR	36	36		
CUI_TCF21_TARGETS_UP	36	36		
HEDENFALK_BREAST_CANCER_BRACX_UP	19	19		
GEISS_RESPONSE_TO_DSRNA_DN	16	16		
CUI_TCF21_TARGETS_2_DN	850		Rejected!	
VIETOR_IFRD1_TARGETS	24	24		
PAL_PRMT5_TARGETS_UP	203	203		
VARELA_ZMPSTE24_TARGETS_DN	42	42		
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_2	47	47		
ZHANG_RESPONSE_TO_CANTHARIDIN_UP	15	15		
HEDENFALK_BREAST_CANCER_BRACX_DN	20	20		
JIANG_AGING_HYPOTHALAMUS_DN	35	35		
CHANG_IMMORTALIZED_BY_HPV31_DN	60	59		
BROWNE_HCMV_INFECTION_24HR_DN	145	144		
MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_8	10		Rejected!	
CHIBA_RESPONSE_TO_TSA_UP	50	50		
RAMASWAMY_METASTASIS_DN	58	58		
MODY_HIPPOCAMPUS_NEONATAL	32	32		
MCCLUNG_COCAINE_REWARD_5D	75	75		
KAYO_AGING_MUSCLE_UP	242	242		
VISALA_RESPONSE_TO_HEAT_SHOCK_AND_AGING_UP	15	15		
CHUANG_OXIDATIVE_STRESS_RESPONSE_DN	11		Rejected!	
BROWNE_HCMV_INFECTION_14HR_DN	291	290		
DELASERNA_MYOD_TARGETS_DN	57	57		
YAMAZAKI_TCEB3_TARGETS_UP	167	167		
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR	50	50		
JIANG_VHL_TARGETS	88	88		
MACLACHLAN_BRCA1_TARGETS_DN	16	16		
LEE_AGING_CEREBELLUM_DN	72	72		
EHRLICH_ICF_SYNDROM_UP	13		Rejected!	
BROWNE_INTERFERON_RESPONSIVE_GENES	67	67		
MCCLUNG_DELTA_FOSB_TARGETS_2WK	49	49		
CUI_TCF21_TARGETS_DN	32	32		
SU_THYMUS	20	20		
KANG_FLUOROURACIL_RESISTANCE_DN	16	16		
BROWNE_HCMV_INFECTION_8HR_UP	105	105		
MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP	71	71		
JI_RESPONSE_TO_FSH_DN	53	53		
WESTON_VEGFA_TARGETS_12HR	27	27		
KRASNOSELSKAYA_ILF3_TARGETS_UP	40	40		
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	28	28		
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN	51	51		
BAELDE_DIABETIC_NEPHROPATHY_UP	89	87		
LINDVALL_IMMORTALIZED_BY_TERT_UP	68	67		
WU_HBX_TARGETS_3_UP	18	18		
WANG_CISPLATIN_RESPONSE_AND_XPC_DN	219	219		
MURAKAMI_UV_RESPONSE_6HR_UP	34	34		
BROWNE_HCMV_INFECTION_20HR_DN	101	101		
SIMBULAN_PARP1_TARGETS_UP	31	31		
ULE_SPLICING_VIA_NOVA2	43	43		
MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN	42	42		
IVANOVA_HEMATOPOIESIS_STEM_CELL	192	192		
KUNINGER_IGF1_VS_PDGFB_TARGETS_DN	46	45		
MEDINA_SMARCA4_TARGETS	36	36		
KANG_FLUOROURACIL_RESISTANCE_UP	22	22		
MAHAJAN_RESPONSE_TO_IL1A_DN	70	70		
RUAN_RESPONSE_TO_TNF_DN	79	79		
BLALOCK_ALZHEIMERS_DISEASE_UP	1670		Rejected!	
DELASERNA_MYOD_TARGETS_UP	86	86		
BURTON_ADIPOGENESIS_12	33	33		
LEONARD_HYPOXIA	41	41		
KAYO_AGING_MUSCLE_DN	124	124		
KAAB_FAILED_HEART_ATRIUM_UP	36	35		
INGA_TP53_TARGETS	16	16		
MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_UP	61	61		
DASU_IL6_SIGNALING_SCAR_UP	31	31		
LINDVALL_IMMORTALIZED_BY_TERT_DN	73	73		
DAZARD_RESPONSE_TO_UV_SCC_DN	115	115		
CHIBA_RESPONSE_TO_TSA	45	45		
RODWELL_AGING_KIDNEY_DN	148	148		
YIH_RESPONSE_TO_ARSENITE_C2	14		Rejected!	
KANG_DOXORUBICIN_RESISTANCE_UP	54	54		
BROWNE_HCMV_INFECTION_48HR_DN	483	483		
BROWNE_HCMV_INFECTION_48HR_UP	180	179		
BURTON_ADIPOGENESIS_5	117	117		
WESTON_VEGFA_TARGETS	95	94		
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	102	102		
BROWNE_HCMV_INFECTION_8HR_DN	47	47		
APRELIKOVA_BRCA1_TARGETS	48	48		
VERRECCHIA_RESPONSE_TO_TGFB1_C2	21	21		
KIM_GASTRIC_CANCER_CHEMOSENSITIVITY	95	95		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	33	33		
GENTILE_UV_RESPONSE_CLUSTER_D5	35	35		
BRACHAT_RESPONSE_TO_METHOTREXATE_UP	24	24		
RHODES_UNDIFFERENTIATED_CANCER	69	69		
BROWNE_HCMV_INFECTION_14HR_UP	157	157		
YAMAZAKI_TCEB3_TARGETS_DN	199	199		
LEE_CALORIE_RESTRICTION_MUSCLE_UP	39	39		
MACLACHLAN_BRCA1_TARGETS_UP	21	21		
VERRECCHIA_RESPONSE_TO_TGFB1_C1	19	19		
GAJATE_RESPONSE_TO_TRABECTEDIN_DN	20	20		
LEE_AGING_MUSCLE_DN	41	41		
ZHANG_PROLIFERATING_VS_QUIESCENT	49	49		
GAJATE_RESPONSE_TO_TRABECTEDIN_UP	66	66		
VERRECCHIA_RESPONSE_TO_TGFB1_C5	21	21		
GERHOLD_ADIPOGENESIS_DN	62	62		
LU_AGING_BRAIN_UP	262	261		
BURTON_ADIPOGENESIS_3	102	102		
DAZARD_RESPONSE_TO_UV_NHEK_UP	224	222		
LIAN_LIPA_TARGETS_3M	64	64		
ZHU_CMV_ALL_UP	107	107		
BURTON_ADIPOGENESIS_8	80	79		
DELLA_RESPONSE_TO_TSA_AND_BUTYRATE	21	20		
RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP	16	16		
BURTON_ADIPOGENESIS_2	71	71		
VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	54	54		
XU_GH1_EXOGENOUS_TARGETS_UP	55	55		
ZHU_CMV_8_HR_DN	50	50		
ZHU_CMV_24_HR_DN	84	84		
WU_HBX_TARGETS_3_DN	13		Rejected!	
SU_KIDNEY	15	15		
GENTILE_UV_RESPONSE_CLUSTER_D2	38	38		
PAL_PRMT5_TARGETS_DN	29	29		
VISALA_AGING_LYMPHOCYTE_DN	19	19		
SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER	46	46		
CHEN_ETV5_TARGETS_SERTOLI	25	25		
BROWNE_HCMV_INFECTION_18HR_DN	182	182		
MOREIRA_RESPONSE_TO_TSA_UP	28	28		
IVANOVA_HEMATOPOIESIS_STEM_CELL_SHORT_TERM	22	22		
TAKAO_RESPONSE_TO_UVB_RADIATION_DN	98	98		
YIH_RESPONSE_TO_ARSENITE_C4	17	17		
ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_UP	28	27		
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4	16	16		
ZHENG_RESPONSE_TO_ARSENITE_UP	15	15		
DAZARD_UV_RESPONSE_CLUSTER_G4	20	20		
GENTILE_UV_RESPONSE_CLUSTER_D7	37	37		
EHRLICH_ICF_SYNDROM_DN	17	17		
KAAB_HEART_ATRIUM_VS_VENTRICLE_DN	262	261		
GENTILE_UV_RESPONSE_CLUSTER_D6	35	35		
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	37	37		
BROWNE_HCMV_INFECTION_18HR_UP	173	173		
LEE_AGING_NEOCORTEX_UP	77	77		
ZHANG_RESPONSE_TO_CANTHARIDIN_DN	67	66		
BURTON_ADIPOGENESIS_PEAK_AT_24HR	46	45		
SARTIPY_NORMAL_AT_INSULIN_RESISTANCE_UP	30	30		
MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP	22	22		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP	26	26		
GENTILE_UV_HIGH_DOSE_DN	289	289		
HENDRICKS_SMARCA4_TARGETS_DN	49	48		
HAN_JNK_SINGALING_UP	35	35		
KANG_DOXORUBICIN_RESISTANCE_DN	19	19		
SESTO_RESPONSE_TO_UV_C0	109	109		
MCLACHLAN_DENTAL_CARIES_DN	82	81		
BURTON_ADIPOGENESIS_PEAK_AT_2HR	46	46		
CHEN_PDGF_TARGETS	18	18		
MCCLUNG_CREB1_TARGETS_UP	100	100		
LEE_AGING_CEREBELLUM_UP	82	81		
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	59	59		
TSENG_IRS1_TARGETS_DN	134	134		
RODWELL_AGING_KIDNEY_NO_BLOOD_UP	223	222		
RODWELL_AGING_KIDNEY_UP	500	498		
MCCLUNG_COCAIN_REWARD_4WK	73	73		
ZHOU_TNF_SIGNALING_30MIN	51	51		
WELCSH_BRCA1_TARGETS_UP	201	201		
JACKSON_DNMT1_TARGETS_UP	83	83		
CHANG_IMMORTALIZED_BY_HPV31_UP	72	72		
MODY_HIPPOCAMPUS_PRENATAL	44	44		
BURTON_ADIPOGENESIS_4	45	44		
ZHU_CMV_ALL_DN	119	119		
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR	133	133		
GENTILE_UV_HIGH_DOSE_UP	23	23		
SU_LIVER	58	58		
CHIBA_RESPONSE_TO_TSA_DN	21	21		
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	82	82		
